nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
CONCORDE -  PRINTEMPS;59;18;O;N;RUE DE LA CONCORDE;CONCORDE (RUE DE LA CONCORDE);61;3105552256;Toulouse;31555;1574597,197;2269306,887;1,44641263;43,61343499
PRINTEMPS - INGRES;93;15;O;N;RUE DU PRINTEMPS;PRINTEMPS (RUE DU PRINTEMPS);57;3105557140;Toulouse;31555;1574367,550;2269440,208;1,44353764;43,61459653
CHALETS;92;13;O;N;RUE DES CHALETS;CHALETS (RUE DES CHALETS);31;3105551852;Toulouse;31555;1574186,966;2269282,905;1,44133704;43,61315079
ESP COMPANS CAFFARELLI;89;23;O;N;ESP COMPANS CAFFARELLI;CAFFARELLI (ESP COMPANS CAFFARELLI);1;3105552251;Toulouse;31555;1573805,789;2269057,311;1,43666784;43,61105687
SEBASTOPOL - LASCROSSES;107;25;O;N;RUE DE SEBASTOPOL;SEBASTOPOL (RUE DE SEBASTOPOL);1;3105558204;Toulouse;31555;1573296,960;2268903,820;1,43040129;43,60959017
EMBOUCHURE -  HAEDENS;122;20;O;N;BD DE L EMBOUCHURE;EMBOUCHURE (BD DE L EMBOUCHURE);57;3105552952;Toulouse;31555;1573292,234;2269333,812;1,43024323;43,61345897
CHAPOU;119;24;O;N;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);129;3105551424;Toulouse;31555;1572427,003;2268963,294;1,41961293;43,60997860
BRIENNE  -  PASSERELLE;106;15;O;N;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);99;3105551424;Toulouse;31555;1572766,777;2268784,397;1,42386267;43,60842612
SEMARD -  GARE ROUTIERE;94;20;O;N;BD PIERRE SEMARD;SEMARD (BD PIERRE SEMARD);73;3105556916;Toulouse;31555;1575007,738;2269348,407;1,45148809;43,61387687
MEDIATHEQUE;96;25;O;N;ALL JACQUES CHABAN DELMAS;DELMAS (ALL JACQUES CHABAN DELMAS);1;3105554399;Toulouse;31555;1575305,525;2268893,869;1,45528003;43,60983570
PERI -  MERCADIER;64;18;O;N;RUE GABRIEL PERI;PERI (RUE GABRIEL PERI);30;3105553660;Toulouse;31555;1575268,276;2268491,002;1,45491047;43,60620402
POIDS DE L'HUILE;1;20;O;O;RUE DU POIDS DE L HUILE;HUILE (RUE DU POIDS DE L HUILE);12;3105556972;Toulouse;31555;1574496,853;2268280,806;1,44540497;43,60418433
COURS DILLON;71;24;O;N;RUE LAGANNE;LAGANNE (RUE LAGANNE);3;3105554948;Toulouse;31555;1573639,399;2267082,814;1,43506263;43,59325999
